+------------------------------+
| CosmoFlow                    |
| # Ranks =     1              |
| Global Batch =      1        |
| # Parameters =   7041186     |
| CPE Plugin Pipeline Enabled  |
+------------------------------+
Rank 0 has waited a total of 0.017701 seconds for communication to complete so far on team 0 (calls = 0)
Train Step: 0, Samples/Sec = 0.0771146474356, Samples/Sec(inst) = 0.0771146474356, Loss = 1.0256983
Train Step: 41, Samples/Sec = 2.09913318189, Samples/Sec(inst) = 5.82876566697, Loss = 1.2841293
Train Step: 42, Samples/Sec = 2.13085672717, Samples/Sec(inst) = 5.83369472544, Loss = 0.35247022
Train Step: 43, Samples/Sec = 2.16203737032, Samples/Sec(inst) = 5.83097784834, Loss = 1.7198441
Train Step: 44, Samples/Sec = 2.19272880953, Samples/Sec(inst) = 5.84115277114, Loss = 1.5740036
Train Step: 45, Samples/Sec = 2.22288740307, Samples/Sec(inst) = 5.833216047, Loss = 0.3421455
Train Step: 46, Samples/Sec = 2.25256864461, Samples/Sec(inst) = 5.83896537803, Loss = 0.6987252
Train Step: 47, Samples/Sec = 2.28175521934, Samples/Sec(inst) = 5.83539101521, Loss = 0.8393308
Train Step: 48, Samples/Sec = 2.31045837374, Samples/Sec(inst) = 5.83172372369, Loss = 0.25145558
Train Step: 49, Samples/Sec = 2.33870777082, Samples/Sec(inst) = 5.83380020752, Loss = 0.67007357
Train Step: 50, Samples/Sec = 2.36665314153, Samples/Sec(inst) = 5.87920057638, Loss = 1.5299044
Train Step: 51, Samples/Sec = 2.39364461028, Samples/Sec(inst) = 5.7216380651, Loss = 0.71760964
Train Step: 52, Samples/Sec = 2.4205663605, Samples/Sec(inst) = 5.83062929811, Loss = 0.4445643
Train Step: 53, Samples/Sec = 2.44707584794, Samples/Sec(inst) = 5.83253467423, Loss = 0.80395734
Train Step: 54, Samples/Sec = 2.47318670591, Samples/Sec(inst) = 5.83563458274, Loss = 0.6969443
Train Step: 55, Samples/Sec = 2.49888082799, Samples/Sec(inst) = 5.83032131166, Loss = 0.9220174
Train Step: 56, Samples/Sec = 2.52418833744, Samples/Sec(inst) = 5.83144805188, Loss = 0.6903664
Train Step: 57, Samples/Sec = 2.5491219861, Samples/Sec(inst) = 5.83375963704, Loss = 1.3261533
Train Step: 58, Samples/Sec = 2.57367635645, Samples/Sec(inst) = 5.83182102585, Loss = 1.4391935
Train Step: 59, Samples/Sec = 2.59787894285, Samples/Sec(inst) = 5.83569953752, Loss = 0.8197472
Train Step: 60, Samples/Sec = 2.62171761733, Samples/Sec(inst) = 5.833459433, Loss = 1.1435676
Train Step: 61, Samples/Sec = 2.64518848623, Samples/Sec(inst) = 5.82770473991, Loss = 1.5027256
Train Step: 62, Samples/Sec = 2.66832873012, Samples/Sec(inst) = 5.83087246829, Loss = 0.3085205
Train Step: 63, Samples/Sec = 2.69113500921, Samples/Sec(inst) = 5.83080762093, Loss = 0.66310686
Train Step: 64, Samples/Sec = 2.71362329676, Samples/Sec(inst) = 5.83338641506, Loss = 0.9380553
Train Step: 65, Samples/Sec = 2.73579209392, Samples/Sec(inst) = 5.83341886725, Loss = 0.83726305
Train Step: 66, Samples/Sec = 2.75764283502, Samples/Sec(inst) = 5.83185346062, Loss = 1.4705918
Train Step: 67, Samples/Sec = 2.77919811575, Samples/Sec(inst) = 5.83509064325, Loss = 0.80766076
Train Step: 68, Samples/Sec = 2.80044863383, Samples/Sec(inst) = 5.83362170161, Loss = 0.93272865
Train Step: 69, Samples/Sec = 2.82141119646, Samples/Sec(inst) = 5.8353260673, Loss = 1.0048884
Train Step: 70, Samples/Sec = 2.84206646759, Samples/Sec(inst) = 5.82943805733, Loss = 1.121987
Train Step: 71, Samples/Sec = 2.86245015284, Samples/Sec(inst) = 5.83246978988, Loss = 1.6042984
Train Step: 72, Samples/Sec = 2.88254757607, Samples/Sec(inst) = 5.82940564942, Loss = 0.92478275
Train Step: 73, Samples/Sec = 2.90240200037, Samples/Sec(inst) = 5.8376082294, Loss = 0.50764185
Train Step: 74, Samples/Sec = 2.92199176278, Samples/Sec(inst) = 5.83771385306, Loss = 0.8712326
Train Step: 75, Samples/Sec = 2.94130194204, Samples/Sec(inst) = 5.83178048289, Loss = 0.7740026
Train Step: 76, Samples/Sec = 2.96036107008, Samples/Sec(inst) = 5.83284289457, Loss = 0.608057
Train Step: 77, Samples/Sec = 2.97917105419, Samples/Sec(inst) = 5.83298079317, Loss = 0.55048597
Train Step: 78, Samples/Sec = 2.99774617629, Samples/Sec(inst) = 5.83593501071, Loss = 0.6477085
Train Step: 79, Samples/Sec = 3.01605495114, Samples/Sec(inst) = 5.82805294056, Loss = 0.5322958
Train Step: 80, Samples/Sec = 3.034130408, Samples/Sec(inst) = 5.82866036687, Loss = 1.1744773
Train Step: 81, Samples/Sec = 3.05200318737, Samples/Sec(inst) = 5.83709641505, Loss = 1.1848973
Train Step: 82, Samples/Sec = 3.06963868391, Samples/Sec(inst) = 5.83385700715, Loss = 1.8904557
Train Step: 83, Samples/Sec = 3.08706142947, Samples/Sec(inst) = 5.83669027706, Loss = 0.47966856
Train Step: 84, Samples/Sec = 3.1042468712, Samples/Sec(inst) = 5.83090489252, Loss = 0.57100284
Train Step: 85, Samples/Sec = 3.12123614989, Samples/Sec(inst) = 5.83624359055, Loss = 1.3814223
Train Step: 86, Samples/Sec = 3.13800795938, Samples/Sec(inst) = 5.8339949537, Loss = 1.1612935
Train Step: 87, Samples/Sec = 3.15456147114, Samples/Sec(inst) = 5.83032941615, Loss = 0.3544081
Train Step: 88, Samples/Sec = 3.17093060993, Samples/Sec(inst) = 5.83573201545, Loss = 0.35022587
Train Step: 89, Samples/Sec = 3.18709963411, Samples/Sec(inst) = 5.83529359389, Loss = 0.14397378
Train Step: 90, Samples/Sec = 3.20305937496, Samples/Sec(inst) = 5.83100216735, Loss = 0.704285
Train Step: 91, Samples/Sec = 3.21881905377, Samples/Sec(inst) = 5.82842548035, Loss = 0.99676067
Train Step: 92, Samples/Sec = 3.23439513437, Samples/Sec(inst) = 5.82977836217, Loss = 0.5109253
Train Step: 93, Samples/Sec = 3.24977830408, Samples/Sec(inst) = 5.82730800384, Loss = 1.3500211
Train Step: 94, Samples/Sec = 3.26498810004, Samples/Sec(inst) = 5.82975405336, Loss = 0.20522559
Train Step: 95, Samples/Sec = 3.28004526419, Samples/Sec(inst) = 5.83754323213, Loss = 1.1324925
Train Step: 96, Samples/Sec = 3.2949116378, Samples/Sec(inst) = 5.83281044879, Loss = 0.20763485
Train Step: 97, Samples/Sec = 3.30960775329, Samples/Sec(inst) = 5.83338641506, Loss = 1.2712228
Train Step: 98, Samples/Sec = 3.32415411254, Samples/Sec(inst) = 5.83931492565, Loss = 1.042032
Train Step: 99, Samples/Sec = 3.33850950526, Samples/Sec(inst) = 5.83178859143, Loss = 1.5214088
Rank 0 has waited a total of 0.017714 seconds for communication to complete so far on team 0 (calls = 100)
Train Step: 100, Samples/Sec = 3.35270593138, Samples/Sec(inst) = 5.83315114749, Loss = 1.0440328
Train Step: 101, Samples/Sec = 3.36674357579, Samples/Sec(inst) = 5.83372718106, Loss = 0.7169012
Train Step: 102, Samples/Sec = 3.38063180841, Samples/Sec(inst) = 5.83634916483, Loss = 1.0265926
Train Step: 103, Samples/Sec = 3.39437313493, Samples/Sec(inst) = 5.83894099255, Loss = 1.2189245
Train Step: 104, Samples/Sec = 3.40793083955, Samples/Sec(inst) = 5.82944615936, Loss = 0.16273102
Train Step: 105, Samples/Sec = 3.42136710849, Samples/Sec(inst) = 5.83829078817, Loss = 0.88900006
Train Step: 106, Samples/Sec = 3.43464461542, Samples/Sec(inst) = 5.83488770672, Loss = 1.1005735
Train Step: 107, Samples/Sec = 3.44778100691, Samples/Sec(inst) = 5.83617862366, Loss = 0.63413966
Train Step: 108, Samples/Sec = 3.46077216272, Samples/Sec(inst) = 5.83546408333, Loss = 0.45772123
Train Step: 109, Samples/Sec = 3.47362271626, Samples/Sec(inst) = 5.83546408333, Loss = 1.2989638
Train Step: 110, Samples/Sec = 3.48634992326, Samples/Sec(inst) = 5.84012798895, Loss = 0.7159444
Train Step: 111, Samples/Sec = 3.4989334355, Samples/Sec(inst) = 5.83777885413, Loss = 0.19468498
Train Step: 112, Samples/Sec = 3.51136748035, Samples/Sec(inst) = 5.83294023408, Loss = 1.2241945
Train Step: 113, Samples/Sec = 3.52367008406, Samples/Sec(inst) = 5.83304568888, Loss = 0.4073041
Train Step: 114, Samples/Sec = 3.53597627529, Samples/Sec(inst) = 5.8750583051, Loss = 1.4245079
Train Step: 115, Samples/Sec = 3.5476502673, Samples/Sec(inst) = 5.71898554677, Loss = 0.3775655
Train Step: 116, Samples/Sec = 3.55957257876, Samples/Sec(inst) = 5.83375963704, Loss = 1.1584189
Train Step: 117, Samples/Sec = 3.57136814208, Samples/Sec(inst) = 5.8328023374, Loss = 1.4025487
Train Step: 118, Samples/Sec = 3.58305187956, Samples/Sec(inst) = 5.83594313081, Loss = 1.2610383
Train Step: 119, Samples/Sec = 3.59460812723, Samples/Sec(inst) = 5.83355679308, Loss = 0.79546463
Train Step: 120, Samples/Sec = 3.60605921319, Samples/Sec(inst) = 5.83764885343, Loss = 0.5635836
Train Step: 121, Samples/Sec = 3.61737949978, Samples/Sec(inst) = 5.83305380095, Loss = 1.1811634
Train Step: 122, Samples/Sec = 3.62859778726, Samples/Sec(inst) = 5.83703142918, Loss = 0.2249431
Train Step: 123, Samples/Sec = 3.63968434926, Samples/Sec(inst) = 5.83101027373, Loss = 1.0762625
Train Step: 124, Samples/Sec = 3.65064574668, Samples/Sec(inst) = 5.82651469373, Loss = 1.4559215
Train Step: 125, Samples/Sec = 3.6615003926, Samples/Sec(inst) = 5.82734038843, Loss = 1.7916229
Train Step: 126, Samples/Sec = 3.67226035469, Samples/Sec(inst) = 5.83151291349, Loss = 0.31306437
Train Step: 127, Samples/Sec = 3.68291519828, Samples/Sec(inst) = 5.83185346062, Loss = 1.4804288
Train Step: 128, Samples/Sec = 3.69347717099, Samples/Sec(inst) = 5.83563458274, Loss = 1.5347378
Train Step: 129, Samples/Sec = 3.70391701219, Samples/Sec(inst) = 5.82951097645, Loss = 0.8735702
Train Step: 130, Samples/Sec = 3.71426634807, Samples/Sec(inst) = 5.83307813728, Loss = 0.636917
Train Step: 131, Samples/Sec = 3.72452019471, Samples/Sec(inst) = 5.83457927024, Loss = 1.0258328
Train Step: 132, Samples/Sec = 3.73465994146, Samples/Sec(inst) = 5.82958389739, Loss = 0.84056723
Train Step: 133, Samples/Sec = 3.74470851139, Samples/Sec(inst) = 5.83154534483, Loss = 1.6818564
Train Step: 134, Samples/Sec = 3.75468306715, Samples/Sec(inst) = 5.83866463799, Loss = 1.1238873
Train Step: 135, Samples/Sec = 3.76454575418, Samples/Sec(inst) = 5.83301324084, Loss = 1.2227374
Train Step: 136, Samples/Sec = 3.77431140943, Samples/Sec(inst) = 5.83174804893, Loss = 0.6548528
Train Step: 137, Samples/Sec = 3.78398174277, Samples/Sec(inst) = 5.83060498221, Loss = 1.0723772
Train Step: 138, Samples/Sec = 3.79358667531, Samples/Sec(inst) = 5.83886783733, Loss = 0.5520818
Train Step: 139, Samples/Sec = 3.80308861392, Samples/Sec(inst) = 5.83437636929, Loss = 0.8796588
Train Step: 140, Samples/Sec = 3.81249331287, Samples/Sec(inst) = 5.83135076216, Loss = 1.2794428
Train Step: 141, Samples/Sec = 3.82181171346, Samples/Sec(inst) = 5.83152102129, Loss = 0.37526256
Train Step: 142, Samples/Sec = 3.83103874444, Samples/Sec(inst) = 5.82961630729, Loss = 0.26355824
Train Step: 143, Samples/Sec = 3.84018011099, Samples/Sec(inst) = 5.82920310813, Loss = 0.9699538
Train Step: 144, Samples/Sec = 3.84926275027, Samples/Sec(inst) = 5.83737262117, Loss = 1.144396
Train Step: 145, Samples/Sec = 3.85824978322, Samples/Sec(inst) = 5.83290778722, Loss = 0.4798701
Train Step: 146, Samples/Sec = 3.86717285081, Samples/Sec(inst) = 5.83863212741, Loss = 1.441666
Train Step: 147, Samples/Sec = 3.87600217099, Samples/Sec(inst) = 5.83403552745, Loss = 1.0623027
Train Step: 148, Samples/Sec = 3.88475064329, Samples/Sec(inst) = 5.83338641506, Loss = 0.4038107
Train Step: 149, Samples/Sec = 3.89342340585, Samples/Sec(inst) = 5.83410856164, Loss = 1.097351
Train Step: 150, Samples/Sec = 3.90200974726, Samples/Sec(inst) = 5.83087246829, Loss = 0.10969682
Train Step: 151, Samples/Sec = 3.91053017743, Samples/Sec(inst) = 5.83420594339, Loss = 0.851235
Train Step: 152, Samples/Sec = 3.91896404123, Samples/Sec(inst) = 5.83022405954, Loss = 0.6326548
Train Step: 153, Samples/Sec = 3.92733876132, Samples/Sec(inst) = 5.83519617582, Loss = 1.2158891
Train Step: 154, Samples/Sec = 3.93565148624, Samples/Sec(inst) = 5.83890847889, Loss = 1.1269059
Train Step: 155, Samples/Sec = 3.94386032437, Samples/Sec(inst) = 5.82802054805, Loss = 1.5149502
Train Step: 156, Samples/Sec = 3.95200809537, Samples/Sec(inst) = 5.83138319171, Loss = 1.4008374
Train Step: 157, Samples/Sec = 3.96008244261, Samples/Sec(inst) = 5.83022405954, Loss = 1.0949789
Train Step: 158, Samples/Sec = 3.96809222151, Samples/Sec(inst) = 5.83178859143, Loss = 1.7594732
Train Step: 159, Samples/Sec = 3.97604400931, Samples/Sec(inst) = 5.8353260673, Loss = 1.3251319
Train Step: 160, Samples/Sec = 3.98391662913, Samples/Sec(inst) = 5.83127779701, Loss = 0.17962638
Train Step: 161, Samples/Sec = 3.99172567163, Samples/Sec(inst) = 5.83229947535, Loss = 0.9929185
Train Step: 162, Samples/Sec = 3.9994824617, Samples/Sec(inst) = 5.83696644475, Loss = 1.1522452
Train Step: 163, Samples/Sec = 4.00714111604, Samples/Sec(inst) = 5.825438404, Loss = 0.7720443
Train Step: 164, Samples/Sec = 4.01475032596, Samples/Sec(inst) = 5.83049151067, Loss = 0.854227
Train Step: 165, Samples/Sec = 4.02228715816, Samples/Sec(inst) = 5.82730800384, Loss = 1.3106234
Train Step: 166, Samples/Sec = 4.02977263044, Samples/Sec(inst) = 5.83117240612, Loss = 0.7257355
Train Step: 167, Samples/Sec = 4.03719934336, Samples/Sec(inst) = 5.83220215723, Loss = 1.055716
Train Step: 168, Samples/Sec = 4.04457535214, Samples/Sec(inst) = 5.83580509212, Loss = 1.7075331
Train Step: 169, Samples/Sec = 4.05187856179, Samples/Sec(inst) = 5.83138319171, Loss = 1.0375972
Train Step: 170, Samples/Sec = 4.05914089856, Samples/Sec(inst) = 5.83794948883, Loss = 0.66699237
Train Step: 171, Samples/Sec = 4.0663189515, Samples/Sec(inst) = 5.82893577518, Loss = 0.58512956
Train Step: 172, Samples/Sec = 4.07345444873, Samples/Sec(inst) = 5.83440883249, Loss = 1.2847571
Train Step: 173, Samples/Sec = 4.08052836305, Samples/Sec(inst) = 5.83290778722, Loss = 0.68160254
Train Step: 174, Samples/Sec = 4.08755115494, Samples/Sec(inst) = 5.83487958956, Loss = 0.55644053
Train Step: 175, Samples/Sec = 4.09452787019, Samples/Sec(inst) = 5.83842894448, Loss = 1.1296357
Train Step: 176, Samples/Sec = 4.10143010446, Samples/Sec(inst) = 5.83158588453, Loss = 0.63932765
Train Step: 177, Samples/Sec = 4.10829495258, Samples/Sec(inst) = 5.83777885413, Loss = 0.817785
Train Step: 178, Samples/Sec = 4.1152226627, Samples/Sec(inst) = 5.88020614279, Loss = 0.48463508
Train Step: 179, Samples/Sec = 4.12164401846, Samples/Sec(inst) = 5.71902453657, Loss = 0.71074826
Train Step: 180, Samples/Sec = 4.12833756771, Samples/Sec(inst) = 5.83362170161, Loss = 1.0855997
Train Step: 181, Samples/Sec = 4.13498283198, Samples/Sec(inst) = 5.83501758447, Loss = 1.0905629
Train Step: 182, Samples/Sec = 4.14158349786, Samples/Sec(inst) = 5.83754323213, Loss = 1.3370588
Train Step: 183, Samples/Sec = 4.14824885614, Samples/Sec(inst) = 5.88000005608, Loss = 1.4615877
Train Step: 184, Samples/Sec = 4.1544138571, Samples/Sec(inst) = 5.71804215558, Loss = 0.74436873
Train Step: 185, Samples/Sec = 4.160854244, Samples/Sec(inst) = 5.83403552745, Loss = 1.2935503
Train Step: 186, Samples/Sec = 4.1672432815, Samples/Sec(inst) = 5.83324849729, Loss = 0.4746973
Train Step: 187, Samples/Sec = 4.17357304131, Samples/Sec(inst) = 5.82934083467, Loss = 1.5890203
Train Step: 188, Samples/Sec = 4.17985726328, Samples/Sec(inst) = 5.83025647655, Loss = 0.3235563
Train Step: 189, Samples/Sec = 4.18611078974, Samples/Sec(inst) = 5.83645474292, Loss = 1.3855767
Train Step: 190, Samples/Sec = 4.19230201117, Samples/Sec(inst) = 5.83080762093, Loss = 0.37583378
Train Step: 191, Samples/Sec = 4.19843779935, Samples/Sec(inst) = 5.82747802697, Loss = 0.8155377
Train Step: 192, Samples/Sec = 4.20452648922, Samples/Sec(inst) = 5.827024654, Loss = 0.94694144
Train Step: 193, Samples/Sec = 4.21058134785, Samples/Sec(inst) = 5.83131022574, Loss = 0.2256515
Train Step: 194, Samples/Sec = 4.21659523614, Samples/Sec(inst) = 5.83277800337, Loss = 0.18484882
Train Step: 195, Samples/Sec = 4.22255604532, Samples/Sec(inst) = 5.82954338553, Loss = 1.624429
Train Step: 196, Samples/Sec = 4.22848358406, Samples/Sec(inst) = 5.83352433936, Loss = 0.8204745
Train Step: 197, Samples/Sec = 4.23436202713, Samples/Sec(inst) = 5.8314075141, Loss = 0.08222027
Train Step: 198, Samples/Sec = 4.24018902441, Samples/Sec(inst) = 5.82821490853, Loss = 0.58724904
Train Step: 199, Samples/Sec = 4.24597494628, Samples/Sec(inst) = 5.82873326654, Loss = 1.2698468
Rank 0 has waited a total of 0.017727 seconds for communication to complete so far on team 0 (calls = 200)
Train Step: 200, Samples/Sec = 4.25172434103, Samples/Sec(inst) = 5.83079951511, Loss = 0.8474204
Train Step: 201, Samples/Sec = 4.25743270634, Samples/Sec(inst) = 5.83100216735, Loss = 1.317898
Train Step: 202, Samples/Sec = 4.26310336921, Samples/Sec(inst) = 5.83229947535, Loss = 1.155319
Train Step: 203, Samples/Sec = 4.26872207578, Samples/Sec(inst) = 5.82801244998, Loss = 0.13888979
Train Step: 204, Samples/Sec = 4.27431154343, Samples/Sec(inst) = 5.83219404753, Loss = 0.46481434
Train Step: 205, Samples/Sec = 4.27985122447, Samples/Sec(inst) = 5.82838498459, Loss = 0.609601
Train Step: 206, Samples/Sec = 4.28535626888, Samples/Sec(inst) = 5.83019164289, Loss = 0.7763754
Train Step: 207, Samples/Sec = 4.29081784014, Samples/Sec(inst) = 5.82845787737, Loss = 1.0881915
Train Step: 208, Samples/Sec = 4.29623610732, Samples/Sec(inst) = 5.82661991632, Loss = 0.7992875
Train Step: 209, Samples/Sec = 4.30162104671, Samples/Sec(inst) = 5.82845787737, Loss = 1.4182982
Train Step: 210, Samples/Sec = 4.30697178967, Samples/Sec(inst) = 5.82981887729, Loss = 1.163434
Train Step: 211, Samples/Sec = 4.31229519031, Samples/Sec(inst) = 5.83369472544, Loss = 1.2569336
Train Step: 212, Samples/Sec = 4.31759025596, Samples/Sec(inst) = 5.83706392193, Loss = 0.8614958
Train Step: 213, Samples/Sec = 4.32282743694, Samples/Sec(inst) = 5.82878996754, Loss = 1.236151
Train Step: 214, Samples/Sec = 4.32802044628, Samples/Sec(inst) = 5.82567304981, Loss = 0.77391535
Train Step: 215, Samples/Sec = 4.33318073745, Samples/Sec(inst) = 5.82686275218, Loss = 1.0589077
Train Step: 216, Samples/Sec = 4.33831360024, Samples/Sec(inst) = 5.82998904698, Loss = 1.3922682
Train Step: 217, Samples/Sec = 4.34340420006, Samples/Sec(inst) = 5.82717037333, Loss = 1.3581483
Train Step: 218, Samples/Sec = 4.34846484236, Samples/Sec(inst) = 5.82903298432, Loss = 1.354708
Train Step: 219, Samples/Sec = 4.3534933634, Samples/Sec(inst) = 5.82991611589, Loss = 0.7147643
Train Step: 220, Samples/Sec = 4.35848874432, Samples/Sec(inst) = 5.83026458086, Loss = 1.1393673
Train Step: 221, Samples/Sec = 4.36346663879, Samples/Sec(inst) = 5.83669027706, Loss = 1.3535852
Train Step: 222, Samples/Sec = 4.36840897707, Samples/Sec(inst) = 5.83583757122, Loss = 0.4007061
Train Step: 223, Samples/Sec = 4.37330033214, Samples/Sec(inst) = 5.82870086646, Loss = 1.1872712
Train Step: 224, Samples/Sec = 4.37815533202, Samples/Sec(inst) = 5.82722704393, Loss = 0.7899951
Train Step: 225, Samples/Sec = 4.38297880624, Samples/Sec(inst) = 5.8275428003, Loss = 1.2973604
Train Step: 226, Samples/Sec = 4.38777333585, Samples/Sec(inst) = 5.82876566697, Loss = 1.5732805
Train Step: 227, Samples/Sec = 4.39252830261, Samples/Sec(inst) = 5.82560831804, Loss = 0.5333328
Train Step: 228, Samples/Sec = 4.39725437937, Samples/Sec(inst) = 5.82659563384, Loss = 1.1391754
Train Step: 229, Samples/Sec = 4.40195209975, Samples/Sec(inst) = 5.8276804484, Loss = 1.2888303
Train Step: 230, Samples/Sec = 4.40663343529, Samples/Sec(inst) = 5.833491886, Loss = 0.87768734
Train Step: 231, Samples/Sec = 4.41128743302, Samples/Sec(inst) = 5.83478218531, Loss = 0.8583051
Train Step: 232, Samples/Sec = 4.41590978002, Samples/Sec(inst) = 5.83420594339, Loss = 1.3248265
Train Step: 233, Samples/Sec = 4.42048648409, Samples/Sec(inst) = 5.82781000549, Loss = 0.9156602
Train Step: 234, Samples/Sec = 4.42504386384, Samples/Sec(inst) = 5.83199131244, Loss = 0.190388
Train Step: 235, Samples/Sec = 4.4295759132, Samples/Sec(inst) = 5.83362981528, Loss = 0.6623349
Train Step: 236, Samples/Sec = 4.43407100115, Samples/Sec(inst) = 5.83039425288, Loss = 0.8979424
Train Step: 237, Samples/Sec = 4.43853618814, Samples/Sec(inst) = 5.82992421926, Loss = 1.0860631
Train Step: 238, Samples/Sec = 4.44297809759, Samples/Sec(inst) = 5.83206429545, Loss = 1.1529396
Train Step: 239, Samples/Sec = 4.44739160275, Samples/Sec(inst) = 5.83199131244, Loss = 1.9125568
Train Step: 240, Samples/Sec = 4.45178701133, Samples/Sec(inst) = 5.83607305555, Loss = 0.34723228
Train Step: 241, Samples/Sec = 4.45613852394, Samples/Sec(inst) = 5.82937324186, Loss = 0.2917903
Train Step: 242, Samples/Sec = 4.4605788999, Samples/Sec(inst) = 5.87803059606, Loss = 0.7794131
Train Step: 243, Samples/Sec = 4.46459097823, Samples/Sec(inst) = 5.71333764686, Loss = 0.9419
Train Step: 244, Samples/Sec = 4.46887560218, Samples/Sec(inst) = 5.83529359389, Loss = 0.35207862
Train Step: 245, Samples/Sec = 4.47312190739, Samples/Sec(inst) = 5.83043477656, Loss = 1.5227606
Train Step: 246, Samples/Sec = 4.47733927412, Samples/Sec(inst) = 5.82937324186, Loss = 0.9936741
